Included	Cycle	Curve	Y-Axis (stability_early)	X-Axis (Cycle number)	Ligand	Curve Marker	Sample
Yes	182	Fc4:2 - 3	51.0	182	Ag124 IgV		426_B1_1_01_D11
Yes	183	Fc1:1 - 3	240.1	183	Ag124-Fc		426_B1_1_01_A12
Yes	183	Fc1:2 - 3	68.9	183	Ag124 IgV		426_B1_1_01_A12
Yes	183	Fc2:1 - 3	371.0	183	Ag124-Fc		426_B1_1_01_B12
Yes	183	Fc2:2 - 3	77.4	183	Ag124 IgV		426_B1_1_01_B12
Yes	183	Fc3:1 - 3	29.4	183	Ag124-Fc		426_B1_1_01_C12
Yes	183	Fc3:2 - 3	72.3	183	Ag124 IgV		426_B1_1_01_C12
Yes	183	Fc4:1 - 3	513.4	183	Ag124-Fc		426_B1_1_01_D12
Yes	183	Fc4:2 - 3	56.2	183	Ag124 IgV		426_B1_1_01_D12
Yes	184	Fc1:1 - 3	359.9	184	Ag124-Fc		426_B1_1_01_E01
Yes	184	Fc1:2 - 3	63.2	184	Ag124 IgV		426_B1_1_01_E01
Yes	184	Fc2:1 - 3	366.0	184	Ag124-Fc		426_B1_1_01_F01
Yes	184	Fc2:2 - 3	32.1	184	Ag124 IgV		426_B1_1_01_F01
Yes	184	Fc3:1 - 3	793.0	184	Ag124-Fc		426_B1_1_01_G01
Yes	184	Fc3:2 - 3	34.0	184	Ag124 IgV		426_B1_1_01_G01
Yes	184	Fc4:1 - 3	-2.2	184	Ag124-Fc		426_B1_1_01_H01
Yes	184	Fc4:2 - 3	12.7	184	Ag124 IgV		426_B1_1_01_H01
Yes	185	Fc1:1 - 3	357.3	185	Ag124-Fc		426_B1_1_01_E02
Yes	185	Fc1:2 - 3	57.4	185	Ag124 IgV		426_B1_1_01_E02
Yes	185	Fc2:1 - 3	-3.0	185	Ag124-Fc		426_B1_1_01_F02
Yes	185	Fc2:2 - 3	14.3	185	Ag124 IgV		426_B1_1_01_F02
Yes	185	Fc3:1 - 3	14.6	185	Ag124-Fc		426_B1_1_01_G02
Yes	185	Fc3:2 - 3	59.8	185	Ag124 IgV		426_B1_1_01_G02
Yes	185	Fc4:1 - 3	5.2	185	Ag124-Fc		426_B1_1_01_H02
Yes	185	Fc4:2 - 3	25.6	185	Ag124 IgV		426_B1_1_01_H02
Yes	186	Fc1:1 - 3	12.8	186	Ag124-Fc		426_B1_1_01_E03
Yes	186	Fc1:2 - 3	40.1	186	Ag124 IgV		426_B1_1_01_E03
